desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Arnold D. Robbins,awk4.c,2,True,USG,4,"3711eedc1b995eb1926c9ffb902d5d796cacf8d0  -  2010-07-02 15:46:31+03:00, 483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00, 3697ec5ca140f686643d204a54181a5ddbf9a799  -  2010-07-15 23:12:49+03:00",5.047,1.0,Misto,Autor
Arnold D. Robbins,awk4.c,,,FUNC_TRACE,,,,,,Autor
Arnold D. Robbins,awk5.c,3,True,(BSD) && !(VPRINTF),3,"3711eedc1b995eb1926c9ffb902d5d796cacf8d0  -  2010-07-02 15:46:31+03:00, 483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00",4.883,1.0,Misto,Autor
Arnold D. Robbins,awk5.c,,,DEBUG,,,,,,Autor
Arnold D. Robbins,awk5.c,,,(HASDOPRNT) && (NOVPRINTF),,,,,,Autor
Arnold D. Robbins,awk6.c,2,True,DEBUG,3,"3711eedc1b995eb1926c9ffb902d5d796cacf8d0  -  2010-07-02 15:46:31+03:00, 483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00",4.883,1.0,Misto,Autor
Arnold D. Robbins,awk6.c,,,notdef,,,,,,Autor
Arnold D. Robbins,awk7.c,6,True,DEBUG,4,"3711eedc1b995eb1926c9ffb902d5d796cacf8d0  -  2010-07-02 15:46:31+03:00, 483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00, 3697ec5ca140f686643d204a54181a5ddbf9a799  -  2010-07-15 23:12:49+03:00",5.047,1.0,Misto,Autor
Arnold D. Robbins,awk7.c,,,(STRICT) || (NO_DEV_FD),,,,,,Autor
Arnold D. Robbins,awk7.c,,,(USG) || (MSDOS),,,,,,Autor
Arnold D. Robbins,awk7.c,,,MSDOS,,,,,,Autor
Arnold D. Robbins,awk7.c,,,SLOWIO,,,,,,Autor
Arnold D. Robbins,awk7.c,,,notdef,,,,,,Autor
Arnold D. Robbins,awk8.c,1,True,DONTDEF,3,"3711eedc1b995eb1926c9ffb902d5d796cacf8d0  -  2010-07-02 15:46:31+03:00, 483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00",4.883,1.0,Misto,Autor
Arnold D. Robbins,awk9.c,2,True,DEBUG,3,"3711eedc1b995eb1926c9ffb902d5d796cacf8d0  -  2010-07-02 15:46:31+03:00, 483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00",4.883,1.0,Misto,Autor
Arnold D. Robbins,awk9.c,,,notdef,,,,,,Autor
Arnold D. Robbins,awka.c,0,True,,3,"483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00, 3697ec5ca140f686643d204a54181a5ddbf9a799  -  2010-07-15 23:12:49+03:00",4.883,1.0,Generalista,Autor
