"Desenvolvedor","Data","Commits","Total"
"Daniel J Sebald","2016-05-01",2,4149
"Ethan A Merritt","2016-05-01",18,4149
"Bastian Maerkisch","2016-06-01",6,4149
"Ethan A Merritt","2016-06-01",10,4149
"Bastian Maerkisch","2016-07-01",15,4149
"Ethan A Merritt","2016-07-01",13,4149
"Bastian Maerkisch","2016-08-01",15,4149
"Ethan A Merritt","2016-08-01",36,4149
"Bastian Maerkisch","2016-09-01",15,4149
"Ethan A Merritt","2016-09-01",23,4149
"Bastian Maerkisch","2016-10-01",6,4149
"Ethan A Merritt","2016-10-01",16,4149
"Bastian Maerkisch","2016-11-01",13,4149
"Ethan A Merritt","2016-11-01",11,4149
"Bastian Maerkisch","2016-12-01",5,4149
"Ethan A Merritt","2016-12-01",25,4149
"Bastian Maerkisch","2017-01-01",13,4149
"Ethan A Merritt","2017-01-01",26,4149
"Bastian Maerkisch","2017-02-01",2,4149
"Ethan A Merritt","2017-02-01",17,4149
"Ethan A Merritt","2017-03-01",22,4149
"Bastian Maerkisch","2017-04-01",8,4149
"Ethan A Merritt","2017-04-01",16,4149
"Bastian Maerkisch","2017-05-01",14,4149
"Ethan A Merritt","2017-05-01",9,4149
"Bastian Maerkisch","2017-06-01",26,4149
"Ethan A Merritt","2017-06-01",25,4149
"Bastian Maerkisch","2017-07-01",20,4149
"Ethan A Merritt","2017-07-01",39,4149
"Bastian Maerkisch","2017-08-01",4,4149
"Ethan A Merritt","2017-08-01",20,4149
"Bastian Maerkisch","2017-09-01",1,4149
"Ethan A Merritt","2017-09-01",26,4149
"Bastian Maerkisch","2017-10-01",2,4149
"Ethan A Merritt","2017-10-01",7,4149
"Bastian Maerkisch","2017-11-01",1,4149
"Eric S. Raymond","2017-11-01",1,4149
"Ethan A Merritt","2017-11-01",16,4149
"Bastian Maerkisch","2017-12-01",4,4149
"Ethan A Merritt","2017-12-01",8,4149
"Ethan A Merritt","2018-01-01",19,4149
"Ethan A Merritt","2018-02-01",7,4149
"Bastian Maerkisch","2018-03-01",3,4149
"Ethan A Merritt","2018-03-01",33,4149
"Bastian Maerkisch","2018-04-01",7,4149
"Ethan A Merritt","2018-04-01",29,4149
"Bastian Maerkisch","2018-05-01",1,4149
"Ethan A Merritt","2018-05-01",21,4149
"Ethan A Merritt","2018-06-01",13,4149
"Ethan A Merritt","2018-07-01",20,4149
"Ethan A Merritt","2018-08-01",22,4149
"Ethan A Merritt","2018-09-01",21,4149
"Ethan A Merritt","2018-10-01",18,4149
"Ethan A Merritt","2018-11-01",22,4149
"Ethan A Merritt","2018-12-01",6,4149
"Bastian Maerkisch","2019-01-01",1,4149
"Ethan A Merritt","2019-01-01",27,4149
"Bastian Maerkisch","2019-02-01",19,4149
"Ethan A Merritt","2019-02-01",24,4149
"Bastian Maerkisch","2019-03-01",6,4149
"Ethan A Merritt","2019-03-01",17,4149
