desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Gary V. Vaughan,ENABLE_CHANGEWORD,0,2.708,2.303,1.792,7,m4module.c,1,0,50.0,1.0,64.286,1.0,3,0.75,30.0,0.8977322508526088,1.0
Gary V. Vaughan,ENABLE_CHANGEWORD,0,2.708,2.303,1.792,7,input.c,1,0,50.0,1.0,64.286,1.0,11,0.9166666666666666,20.37037037037037,0.8977322508526088,1.0
Gary V. Vaughan,ENABLE_CHANGEWORD,0,2.708,2.303,1.792,7,macro.c,1,0,50.0,1.0,64.286,1.0,2,0.6666666666666666,33.333333333333336,0.8977322508526088,1.0
Gary V. Vaughan,ENABLE_CHANGEWORD,0,2.708,2.303,1.792,7,main.c,1,1,100.0,1.0,64.286,1.0,6,0.4,8.0,0.8977322508526088,1.0
Jeff Bailey,ENABLE_CHANGEWORD,1,2.708,1.792,2.303,7,builtin.c,1,1,33.333,0.5,35.714,0.556,3,0.42857142857142855,17.647058823529413,0.508742550181085,0.5666974197461592
Jeff Bailey,ENABLE_CHANGEWORD,1,2.708,1.792,2.303,7,input.c,1,1,50.0,1.0,35.714,0.556,12,1.0,22.22222222222222,0.808327550181085,0.9004105059313477
Jeff Bailey,ENABLE_CHANGEWORD,1,2.708,1.792,2.303,7,m4.c,1,1,50.0,1.0,35.714,0.556,5,0.2,2.4271844660194173,0.808327550181085,0.9004105059313477
Jeff Bailey,ENABLE_CHANGEWORD,1,2.708,1.792,2.303,7,m4module.c,1,1,50.0,1.0,35.714,0.556,4,1.0,40.0,0.808327550181085,0.9004105059313477
Jeff Bailey,ENABLE_CHANGEWORD,1,2.708,1.792,2.303,7,macro.c,1,1,50.0,1.0,35.714,0.556,3,1.0,50.0,0.808327550181085,0.9004105059313477
Gary V. Vaughan,ENABLE_NLS,1,0.693,0.693,0.0,1,m4.c,1,1,100.0,1.0,100.0,1.0,6,0.24,2.912621359223301,0.9821873255543234,1.0
Gary V. Vaughan,ENUM_DYLD_BOOL,1,1.099,1.099,0.0,1,ltdl.c,2,1,100.0,1.0,100.0,1.0,16,0.1415929203539823,0.506649778340722,1.0095035098875704,1.0
Gary V. Vaughan,EXIT_FAILURE,0,2.197,1.946,1.099,4,xmalloc.c,3,0,75.0,1.0,75.0,1.0,3,0.1875,3.8461538461538463,0.9483203538667344,1.0
Gary V. Vaughan,EXIT_FAILURE,0,2.197,1.946,1.099,4,obstack.c,1,1,100.0,1.0,75.0,1.0,10,0.5,7.352941176470588,0.9483203538667344,1.0
Gary V. Vaughan,EXIT_FAILURE,0,2.197,1.946,1.099,4,exitfail.c,2,1,100.0,1.0,75.0,1.0,2,1.0,100.0,0.9483203538667344,1.0
Jeff Bailey,EXIT_FAILURE,1,2.197,1.099,1.946,4,m4obstack.c,1,1,100.0,1.0,25.0,0.333,5,0.5555555555555556,11.11111111111111,0.8000262823417661,0.8436244978605534
Jeff Bailey,EXIT_FAILURE,1,2.197,1.099,1.946,4,xmalloc.c,1,1,25.0,0.333,25.0,0.333,4,0.25,5.128205128205129,0.40037989234176613,0.4221989865652833
Jeff Bailey,EXTRACT_MACROS,1,0.693,0.693,0.0,1,regex.c,1,1,100.0,1.0,100.0,1.0,16,0.1951219512195122,0.5434782608695652,0.9821873255543234,1.0
Jeff Bailey,EXTRACT_MACROS /* To debug the macros.  */,1,0.693,0.693,0.0,1,regex.c,1,1,100.0,1.0,100.0,1.0,17,0.2073170731707317,0.5774456521739131,0.9821873255543234,1.0
Gary V. Vaughan,HAVE_CLOSEDIR,1,1.099,1.099,0.0,1,ltdl.c,2,1,100.0,1.0,100.0,1.0,18,0.1592920353982301,0.5699810006333123,1.0095035098875704,1.0
Akim Demaille,HAVE_CONFIG_H,0,3.638,0.693,3.611,16,time.c,1,0,50.0,1.0,2.703,0.042,1,0.1111111111111111,2.2222222222222223,0.5934720122581727,0.6835257484974981
